species,count,last_seen,location,date,seen
Gadwall,30,2021-02-12,Sweetwater Wetlands,2021-02-13,1
Pied-billed Grebe,2,2021-02-12,Sweetwater Wetlands,2021-02-13,1
Green Heron,1,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Black-crowned Night-Heron,1,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Northern Rough-winged Swallow,1,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Blue-winged Teal,10,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Snowy Egret,1,2021-02-12,Sweetwater Wetlands,2021-02-13,1
Yellow-headed Blackbird,500,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Mexican Duck,1,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Sora,1,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Blue-gray Gnatcatcher,1,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Orange-crowned Warbler,2,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Common Gallinule,3,2021-02-12,Sweetwater Wetlands,2021-02-13,1
Bewick’s Wren,1,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Neotropic Cormorant,5,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Common Yellowthroat,1,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Bushtit,14,2021-02-12,Sweetwater Wetlands,2021-02-13,0
House Wren,1,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Hermit Thrush,1,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Virginia Rail,1,2021-02-11,Sweetwater Wetlands,2021-02-13,0
Loggerhead Shrike,1,2021-02-11,Sweetwater Wetlands,2021-02-13,0
Violet-green Swallow,4,2021-02-11,Sweetwater Wetlands,2021-02-13,0
Spotted Sandpiper,1,2021-02-11,Sweetwater Wetlands,2021-02-13,0
White-winged Dove,1,2021-02-11,Sweetwater Wetlands,2021-02-13,0
Hutton’s Vireo,1,2021-02-11,Sweetwater Wetlands,2021-02-13,0
Wood Duck,1,2021-02-11,Sweetwater Wetlands,2021-02-13,1
Phainopepla,1,2021-02-10,Sweetwater Wetlands,2021-02-13,0
Northern Flicker,1,2021-02-10,Sweetwater Wetlands,2021-02-13,0
Great Blue Heron,2,2021-02-10,Sweetwater Wetlands,2021-02-13,0
Rufous-winged Sparrow,1,2021-02-10,Sweetwater Wetlands,2021-02-13,0
Brewer’s Blackbird,NA,2021-02-10,Sweetwater Wetlands,2021-02-13,0
Lesser Scaup,1,2021-02-10,Sweetwater Wetlands,2021-02-13,0
Brown-headed Cowbird,20,2021-02-10,Sweetwater Wetlands,2021-02-13,0
Tree Swallow,3,2021-02-10,Sweetwater Wetlands,2021-02-13,0
Rock Pigeon,1,2021-02-13,Reid Park,2021-02-14,1
Neotropic Cormorant,1,2021-02-13,Reid Park,2021-02-14,1
Canvasback,1,2021-02-13,Reid Park,2021-02-14,1
Black-crowned Night-Heron,3,2021-02-13,Reid Park,2021-02-14,1
Cassin’s Kingbird,1,2021-02-13,Reid Park,2021-02-14,0
Dark-eyed Junco,8,2021-02-13,Reid Park,2021-02-14,1
Pine Siskin,2,2021-02-13,Reid Park,2021-02-14,0
White-winged Dove,1,2021-02-13,Reid Park,2021-02-14,0
Snow Goose,1,2021-02-13,Reid Park,2021-02-14,1
Red-breasted Nuthatch,1,2021-02-13,Reid Park,2021-02-14,0
Greater Pewee,1,2021-02-13,Reid Park,2021-02-14,0
Great Blue Heron,1,2021-02-12,Reid Park,2021-02-14,0
Ruby-crowned Kinglet,1,2021-02-12,Reid Park,2021-02-14,0
Phainopepla,1,2021-02-12,Reid Park,2021-02-14,0
Orange-crowned Warbler,1,2021-02-12,Reid Park,2021-02-14,0
Yellow-bellied Sapsucker,1,2021-02-12,Reid Park,2021-02-14,0
Bewick’s Wren,1,2021-02-12,Reid Park,2021-02-14,0
Harris’s Hawk,1,2021-02-12,Reid Park,2021-02-14,0
Mexican Duck,1,2021-02-12,Reid Park,2021-02-14,0
Cedar Waxwing,3,2021-02-12,Reid Park,2021-02-14,0
Lesser Scaup,2,2021-02-12,Reid Park,2021-02-14,0
White-throated Sparrow,1,2021-02-12,Reid Park,2021-02-14,0
Hutton’s Vireo,1,2021-02-12,Reid Park,2021-02-14,0
American Goldfinch,1,2021-02-12,Reid Park,2021-02-14,0
Plumbeous Vireo,1,2021-02-11,Reid Park,2021-02-14,0
Northern Rough-winged Swallow,6,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Mexican Duck,1,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Cliff Swallow,1,2021-02-20,Sweetwater Wetlands,2021-02-21,0
White-winged Dove,NA,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Lesser Scaup,NA,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Sora,NA,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Green Heron,NA,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Ruby-crowned Kinglet,NA,2021-02-20,Sweetwater Wetlands,2021-02-21,1
Marsh Wren,NA,2021-02-20,Sweetwater Wetlands,2021-02-21,1
Orange-crowned Warbler,NA,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Merlin,1,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Virginia Rail,1,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Spotted Sandpiper,1,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Great Blue Heron,1,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Yellow-headed Blackbird,100,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Common Yellowthroat,1,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Double-crested Cormorant,1,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Belted Kingfisher,1,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Bewick’s Wren,2,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Plumbeous Vireo,1,2021-02-20,Sweetwater Wetlands,2021-02-21,0
Blue-gray Gnatcatcher,1,2021-02-19,Sweetwater Wetlands,2021-02-21,0
Blue-winged Teal,1,2021-02-18,Sweetwater Wetlands,2021-02-21,0
Green-tailed Towhee,1,2021-02-18,Sweetwater Wetlands,2021-02-21,0
Hermit Thrush,1,2021-02-18,Sweetwater Wetlands,2021-02-21,0
Bushtit,12,2021-02-18,Sweetwater Wetlands,2021-02-21,0
Red-naped Sapsucker,1,2021-02-17,Sweetwater Wetlands,2021-02-21,0
Bridled Titmouse,1,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,0
White-breasted Nuthatch,2,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,0
Rufous-backed Robin,1,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,1
Bewick’s Wren,1,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,1
Rufous-winged Sparrow,2,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,1
Spotted Towhee,2,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,0
Mexican Duck,2,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,1
Northern Flicker,2,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,0
Orange-crowned Warbler,2,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,0
Inca Dove,3,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,0
Cedar Waxwing,2,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,1
Belted Kingfisher,1,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,0
Lawrence’s Goldfinch,1,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,0
Plumbeous Vireo,1,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,0
Western Meadowlark,1,2021-02-26,Santa Gertrudis Lane (foot access only),2021-02-27,0
Red-naped Sapsucker,1,2021-02-25,Santa Gertrudis Lane (foot access only),2021-02-27,0
Green-tailed Towhee,1,2021-02-25,Santa Gertrudis Lane (foot access only),2021-02-27,0
Blue-gray Gnatcatcher,1,2021-02-24,Santa Gertrudis Lane (foot access only),2021-02-27,0
House Wren,1,2021-02-24,Santa Gertrudis Lane (foot access only),2021-02-27,0
Green Kingfisher,1,2021-02-24,Santa Gertrudis Lane (foot access only),2021-02-27,0
Crissal Thrasher,1,2021-02-23,Santa Gertrudis Lane (foot access only),2021-02-27,0
Hutton’s Vireo,1,2021-02-23,Santa Gertrudis Lane (foot access only),2021-02-27,0
Canyon Wren,1,2021-02-23,Santa Gertrudis Lane (foot access only),2021-02-27,0
Green Heron,1,2021-03-05,Sweetwater Wetlands,2021-03-06,0
Yellow-headed Blackbird,20,2021-03-05,Sweetwater Wetlands,2021-03-06,0
Common Yellowthroat,1,2021-03-05,Sweetwater Wetlands,2021-03-06,0
Northern Flicker,1,2021-03-05,Sweetwater Wetlands,2021-03-06,0
Northern Rough-winged Swallow,2,2021-03-05,Sweetwater Wetlands,2021-03-06,1
Orange-crowned Warbler,1,2021-03-05,Sweetwater Wetlands,2021-03-06,0
Cliff Swallow,2,2021-03-05,Sweetwater Wetlands,2021-03-06,1
Common Goldeneye,1,2021-03-05,Sweetwater Wetlands,2021-03-06,0
Sora,1,2021-03-05,Sweetwater Wetlands,2021-03-06,0
Belted Kingfisher,1,2021-03-05,Sweetwater Wetlands,2021-03-06,0
Virginia Rail,1,2021-03-05,Sweetwater Wetlands,2021-03-06,0
Cassin’s Vireo,1,2021-03-05,Sweetwater Wetlands,2021-03-06,0
Blue-winged Teal,3,2021-03-05,Sweetwater Wetlands,2021-03-06,0
Peregrine Falcon,2,2021-03-04,Sweetwater Wetlands,2021-03-06,0
Cassin’s Kingbird,1,2021-03-04,Sweetwater Wetlands,2021-03-06,0
Violet-green Swallow,1,2021-03-04,Sweetwater Wetlands,2021-03-06,0
Blue-gray Gnatcatcher,2,2021-03-04,Sweetwater Wetlands,2021-03-06,0
Tree Swallow,2,2021-03-04,Sweetwater Wetlands,2021-03-06,0
Phainopepla,2,2021-03-03,Sweetwater Wetlands,2021-03-06,0
Great Blue Heron,1,2021-03-03,Sweetwater Wetlands,2021-03-06,0
Spotted Sandpiper,1,2021-03-03,Sweetwater Wetlands,2021-03-06,0
Loggerhead Shrike,1,2021-03-03,Sweetwater Wetlands,2021-03-06,0
Brown-headed Cowbird,5,2021-03-03,Sweetwater Wetlands,2021-03-06,0
Hutton’s Vireo,1,2021-03-03,Sweetwater Wetlands,2021-03-06,0
House Wren,2,2021-03-03,Sweetwater Wetlands,2021-03-06,0
Barn Swallow,1,2021-03-03,Sweetwater Wetlands,2021-03-06,0
Barn Owl,1,2021-03-03,Sweetwater Wetlands,2021-03-06,0
Plumbeous Vireo,1,2021-03-03,Sweetwater Wetlands,2021-03-06,0
Long-billed Dowitcher,1,2021-03-03,Sweetwater Wetlands,2021-03-06,0
American Avocet,2,2021-03-03,Sweetwater Wetlands,2021-03-06,0
White-breasted Nuthatch,3,2021-03-06,Madera Canyon–Santa Rita Lodge,2021-03-07,1
Mexican Jay,11,2021-03-06,Madera Canyon–Santa Rita Lodge,2021-03-07,1
Spotted Towhee,1,2021-03-06,Madera Canyon–Santa Rita Lodge,2021-03-07,0
Bridled Titmouse,4,2021-03-06,Madera Canyon–Santa Rita Lodge,2021-03-07,0
Wild Turkey,16,2021-03-06,Madera Canyon–Santa Rita Lodge,2021-03-07,1
Acorn Woodpecker,2,2021-03-06,Madera Canyon–Santa Rita Lodge,2021-03-07,1
Arizona Woodpecker,1,2021-03-06,Madera Canyon–Santa Rita Lodge,2021-03-07,0
Yellow-eyed Junco,8,2021-03-06,Madera Canyon–Santa Rita Lodge,2021-03-07,1
Pine Siskin,24,2021-03-06,Madera Canyon–Santa Rita Lodge,2021-03-07,1
Golden Eagle,1,2021-03-06,Madera Canyon–Santa Rita Lodge,2021-03-07,0
Cassin’s Finch,1,2021-03-06,Madera Canyon–Santa Rita Lodge,2021-03-07,0
Rivoli’s Hummingbird,2,2021-03-06,Madera Canyon–Santa Rita Lodge,2021-03-07,1
Brown Creeper,1,2021-03-05,Madera Canyon–Santa Rita Lodge,2021-03-07,0
Northern Flicker,1,2021-03-04,Madera Canyon–Santa Rita Lodge,2021-03-07,0
House Wren,1,2021-03-04,Madera Canyon–Santa Rita Lodge,2021-03-07,0
Rufous-crowned Sparrow,2,2021-03-04,Madera Canyon–Santa Rita Lodge,2021-03-07,0
Townsend’s Warbler,1,2021-03-04,Madera Canyon–Santa Rita Lodge,2021-03-07,0
Whiskered Screech-Owl,1,2021-03-04,Madera Canyon–Santa Rita Lodge,2021-03-07,0
Green Heron,2,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Ash-throated Flycatcher,1,2021-03-13,Sweetwater Wetlands,2021-03-14,1
Wilson’s Snipe,1,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Spotted Sandpiper,3,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Tree Swallow,1,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Yellow-headed Blackbird,6,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Common Yellowthroat,1,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Phainopepla,NA,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Sora,1,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Yellow Warbler,1,2021-03-13,Sweetwater Wetlands,2021-03-14,1
Brown-headed Cowbird,5,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Orange-crowned Warbler,2,2021-03-13,Sweetwater Wetlands,2021-03-14,1
Lucy’s Warbler,4,2021-03-13,Sweetwater Wetlands,2021-03-14,1
Harris’s Hawk,1,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Double-crested Cormorant,1,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Green-tailed Towhee,1,2021-03-13,Sweetwater Wetlands,2021-03-14,1
Great Blue Heron,2,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Bell’s Vireo,1,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Hutton’s Vireo,1,2021-03-13,Sweetwater Wetlands,2021-03-14,0
House Wren,2,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Blue-winged Teal,2,2021-03-13,Sweetwater Wetlands,2021-03-14,0
Barn Swallow,1,2021-03-12,Sweetwater Wetlands,2021-03-14,0
Lawrence’s Goldfinch,1,2021-03-12,Sweetwater Wetlands,2021-03-14,0
Lesser Scaup,1,2021-03-12,Sweetwater Wetlands,2021-03-14,0
Virginia Rail,1,2021-03-12,Sweetwater Wetlands,2021-03-14,0
American Bittern,1,2021-03-12,Sweetwater Wetlands,2021-03-14,0
Violet-green Swallow,2,2021-03-11,Sweetwater Wetlands,2021-03-14,1
Northern Flicker,1,2021-03-11,Sweetwater Wetlands,2021-03-14,0
Blue-gray Gnatcatcher,1,2021-03-11,Sweetwater Wetlands,2021-03-14,0
Cassin’s Vireo,1,2021-03-11,Sweetwater Wetlands,2021-03-14,0
Gray Flycatcher,1,2021-03-11,Sweetwater Wetlands,2021-03-14,0
American Goldfinch,2,2021-03-11,Sweetwater Wetlands,2021-03-14,0
Zone-tailed Hawk,2,2021-03-27,De Anza Trail–Tubac,2021-03-28,1
Black Vulture,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Swainson’s Hawk,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Lesser Scaup,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Barn Swallow,2,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Hepatic Tanager,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Gray Hawk,2,2021-03-27,De Anza Trail–Tubac,2021-03-28,1
Northern Flicker,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,1
Gray Flycatcher,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Cassin’s Kingbird,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,1
Great Blue Heron,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Common Black Hawk,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Common Yellowthroat,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,1
Western Meadowlark,2,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Warbling Vireo,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
House Wren,2,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Black-throated Gray Warbler,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Plumbeous Vireo,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,1
Chihuahuan Raven,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Bell’s Vireo,2,2021-03-27,De Anza Trail–Tubac,2021-03-28,1
Cassin’s Vireo,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Bullock’s Oriole,1,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Rose-throated Becard,2,2021-03-27,De Anza Trail–Tubac,2021-03-28,0
Peregrine Falcon,1,2021-03-26,De Anza Trail–Tubac,2021-03-28,0
Gilded Flicker,1,2021-03-25,De Anza Trail–Tubac,2021-03-28,0
Tree Swallow,3,2021-03-25,De Anza Trail–Tubac,2021-03-28,0
Broad-tailed Hummingbird,1,2021-03-25,De Anza Trail–Tubac,2021-03-28,0
Western Kingbird,1,2021-03-25,De Anza Trail–Tubac,2021-03-28,0
Blue-gray Gnatcatcher,2,2021-03-25,De Anza Trail–Tubac,2021-03-28,0
Lawrence’s Goldfinch,4,2021-03-25,De Anza Trail–Tubac,2021-03-28,0
Spotted Towhee,1,2021-03-25,De Anza Trail–Tubac,2021-03-28,0
Red-naped Sapsucker,1,2021-03-25,De Anza Trail–Tubac,2021-03-28,0
Pacific-slope Flycatcher,1,2021-03-25,De Anza Trail–Tubac,2021-03-28,0
Inca Dove,1,2021-03-24,De Anza Trail–Tubac,2021-03-28,0
Hutton’s Vireo,1,2021-03-24,De Anza Trail–Tubac,2021-03-28,0
White-faced Ibis,3,2021-03-24,De Anza Trail–Tubac,2021-03-28,0
Dusky Flycatcher,1,2021-03-24,De Anza Trail–Tubac,2021-03-28,0
Golden Eagle,1,2021-03-24,De Anza Trail–Tubac,2021-03-28,0
Merlin,1,2021-03-24,De Anza Trail–Tubac,2021-03-28,0
Barn Swallow,2,2021-04-02,Sweetwater Wetlands,2021-04-03,0
Sora,1,2021-04-02,Sweetwater Wetlands,2021-04-03,1
Green Heron,1,2021-04-02,Sweetwater Wetlands,2021-04-03,1
Western Kingbird,1,2021-04-02,Sweetwater Wetlands,2021-04-03,1
Blue-winged Teal,4,2021-04-02,Sweetwater Wetlands,2021-04-03,1
Black-necked Stilt,1,2021-04-02,Sweetwater Wetlands,2021-04-03,0
Yellow-headed Blackbird,7,2021-04-02,Sweetwater Wetlands,2021-04-03,0
Cassin’s Vireo,1,2021-04-02,Sweetwater Wetlands,2021-04-03,0
Black-throated Gray Warbler,1,2021-04-02,Sweetwater Wetlands,2021-04-03,0
Warbling Vireo,1,2021-04-02,Sweetwater Wetlands,2021-04-03,0
Tree Swallow,4,2021-04-02,Sweetwater Wetlands,2021-04-03,0
Long-billed Dowitcher,1,2021-04-02,Sweetwater Wetlands,2021-04-03,0
Wilson’s Snipe,1,2021-04-02,Sweetwater Wetlands,2021-04-03,0
Hutton’s Vireo,1,2021-04-02,Sweetwater Wetlands,2021-04-03,0
Brown-headed Cowbird,1,2021-04-02,Sweetwater Wetlands,2021-04-03,0
Virginia Rail,1,2021-04-02,Sweetwater Wetlands,2021-04-03,0
American Bittern,1,2021-04-02,Sweetwater Wetlands,2021-04-03,0
Lesser Scaup,1,2021-04-01,Sweetwater Wetlands,2021-04-03,0
Spotted Sandpiper,2,2021-04-01,Sweetwater Wetlands,2021-04-03,0
Solitary Sandpiper,1,2021-04-01,Sweetwater Wetlands,2021-04-03,0
Double-crested Cormorant,1,2021-04-01,Sweetwater Wetlands,2021-04-03,0
Lesser Yellowlegs,1,2021-04-01,Sweetwater Wetlands,2021-04-03,0
Broad-tailed Hummingbird,1,2021-03-31,Sweetwater Wetlands,2021-04-03,0
House Wren,1,2021-03-31,Sweetwater Wetlands,2021-04-03,0
Great Blue Heron,1,2021-03-31,Sweetwater Wetlands,2021-04-03,0
Lazuli Bunting,1,2021-03-31,Sweetwater Wetlands,2021-04-03,0
Swainson’s Hawk,1,2021-03-31,Sweetwater Wetlands,2021-04-03,0
Nashville Warbler,1,2021-03-31,Sweetwater Wetlands,2021-04-03,0
American Goldfinch,1,2021-03-31,Sweetwater Wetlands,2021-04-03,0
Barn Swallow,1,2021-04-10,Sweetwater Wetlands,2021-04-11,1
Franklin’s Gull,1,2021-04-10,Sweetwater Wetlands,2021-04-11,0
White-faced Ibis,1,2021-04-10,Sweetwater Wetlands,2021-04-11,0
Cassin’s Vireo,1,2021-04-10,Sweetwater Wetlands,2021-04-11,0
Warbling Vireo,1,2021-04-10,Sweetwater Wetlands,2021-04-11,0
Nashville Warbler,1,2021-04-10,Sweetwater Wetlands,2021-04-11,0
Great Blue Heron,1,2021-04-10,Sweetwater Wetlands,2021-04-11,0
Brown-headed Cowbird,1,2021-04-10,Sweetwater Wetlands,2021-04-11,0
Spotted Sandpiper,1,2021-04-10,Sweetwater Wetlands,2021-04-11,0
MacGillivray’s Warbler,1,2021-04-10,Sweetwater Wetlands,2021-04-11,1
Hermit Warbler,1,2021-04-09,Sweetwater Wetlands,2021-04-11,0
